observer,luminance_cd_m2,eccentricity_deg,color_direction,stimulus_size_deg,stimulus_shape,num_trials,threshold,threshold_ci_low,threshold_ci_high,threshold_ppd,threshold_ppd_ci_low,threshold_ppd_ci_high,contrast_sensitivity
Obs001,100,0,1,2,1,48,-3.52150693920954,-3.81497586839763,-3.32223705812183,87.3404934450209,73.3367822072694,111.046629462707,1.09486693534701
Obs002,100,0,1,2,1,30,-3.7544230464488,-3.93729712580717,-3.62600405168049,105.842384892324,95.3487163783131,122.074390636292,1.09486693534701
Obs003,100,0,1,2,1,30,-3.60834330063428,-3.71645135357591,-3.47019593882882,93.9622798092613,83.5780024784003,102.663331451911,1.09486693534701
Obs004,100,0,1,2,1,40,-3.64215721552466,-3.72811379922891,-3.52411809647872,96.6286831111323,87.5349234834717,103.63285847285,1.09486693534701
Obs005,100,0,1,2,1,30,-3.48681642017477,-3.59530185582004,-3.35792942709367,84.7846522423716,75.7259427743527,92.9471488684349,1.09486693534701
Obs006,100,0,1,2,1,50,-3.70684171402384,-3.86091260603654,-3.25478645792651,101.869018191354,68.9600387389095,115.106516079733,1.09486693534701
Obs007,100,0,1,2,1,30,-3.6650604104531,-3.77685460716714,-3.53562585940977,98.4630780110415,88.3952443384647,107.750872536535,1.09486693534701
Obs008,100,0,1,2,1,38,-3.29845997357876,-3.41740175082612,-3.14706425772205,71.7734216256223,62.3371334240917,79.8211735235376,1.09486693534701
Obs009,100,0,1,2,1,39,-3.5273722154061,-3.63830877029252,-3.40792831561161,87.7776328506665,79.1591912745843,96.3227017555649,1.09486693534701
Obs010,100,0,1,2,1,70,-3.51662751248155,-3.62981822373106,-3.37725023003297,86.9779373191469,77.0406104681917,95.6499232333466,1.09486693534701
Obs011,100,0,1,2,1,50,-3.60966673514012,-3.69990743157405,-3.50976845973215,94.0657055597214,86.4699875334966,101.298396619721,1.09486693534701
Obs012,100,0,1,2,1,42,-3.85488275298875,-3.96443287052208,-3.72915293286685,114.56804860337,103.719539095043,124.615826080593,1.09486693534701
Obs013,100,0,1,2,1,36,-3.92259577806699,-4.04503297660499,-3.77224468721533,120.712061098773,107.356801085757,132.372019660604,1.09486693534701
Obs014,100,0,1,2,1,30,-3.70694000672268,-3.82375747483179,-3.58430817616575,101.877122054705,92.0971146909897,111.815243159217,1.09486693534701
Obs015,100,0,1,2,1,37,-3.60363064432616,-3.71282453167845,-3.48894157227207,93.5946037206068,84.9397709226527,102.363062453737,1.09486693534701
Obs016,100,0,1,2,1,50,-3.51452979667626,-3.65920441711178,-3.39792351770887,86.8223796054416,78.4640631306665,97.9918620377973,1.09486693534701
Obs017,100,0,1,2,1,30,-3.64236592080602,-3.75507136828187,-3.5170684152205,96.6452953035305,87.010656410578,105.897225632108,1.09486693534701
Obs018,100,0,1,2,1,50,-3.58267864053361,-3.68601422103827,-3.45087187825004,91.9715613311212,82.1895309221058,100.161545009483,1.09486693534701
Obs001,100,10,1,2,1,42,-2.88439643148433,-3.08778643427364,-2.56436855365967,47.994872736153,33.7265038205756,58.8805367404862,1.09486693534701
Obs002,100,10,1,2,1,30,-2.62379625967582,-2.73719223092435,-2.48329539174464,36.1260369290882,30.6277535268393,41.0152999188997,1.09486693534701
Obs003,100,10,1,2,1,31,-2.42677196627187,-2.56602868963378,-2.27009127549076,28.5835985611005,23.3969881143306,33.7920484212462,1.09486693534701
Obs004,100,10,1,2,1,33,-2.80613964609615,-2.92968897253194,-2.64365799245363,44.1934426955045,36.9526685167186,50.2914948623321,1.09486693534701
Obs005,100,10,1,2,1,30,-2.8001605705654,-2.94197218169348,NaN,43.9115536725574,NaN,50.9267171242475,1.09486693534701
Obs006,100,10,1,2,1,31,-3.16988538005875,-3.34194682669844,-3.04322649424816,63.7031154239111,56.3680257658762,74.6497920885493,1.09486693534701
Obs007,100,10,1,2,1,50,-2.82016838787655,-2.96087426695906,-2.63974649646476,44.859571006264,36.7888881084745,51.9146454403942,1.09486693534701
Obs008,100,10,1,2,1,33,-2.10556235657687,-2.22496321977202,-1.98535510345941,18.669570140835,15.6510898770924,22.0291887573626,1.09486693534701
Obs009,100,10,1,2,1,35,-2.74922032367094,-2.87800845088033,-2.51806332189427,41.5583822158912,31.9322806125341,47.6767002912021,1.09486693534701
Obs010,100,10,1,2,1,36,-2.63556503122901,-3.25370638753582,-2.42752705203791,36.6143396315964,28.6102880708016,68.8914102894313,1.09486693534701
Obs011,100,10,1,2,1,50,-2.96470350976846,-3.06925164884188,-2.8593134122243,52.1163267397889,46.7536240084035,57.8265775059236,1.09486693534701
Obs012,100,10,1,2,1,81,-2.57235525184474,-2.67784173036245,-2.45447839424508,34.0426087815834,29.5738343717946,38.4047295475201,1.09486693534701
Obs013,100,10,1,2,1,34,-2.78802382211119,-2.907105352375,-2.64973649534701,43.3430467611103,37.2081483354214,49.1374152552478,1.09486693534701
Obs016,100,10,1,2,1,38,-2.38328345961335,-2.57240793407274,-2.11745177517422,27.0742909968102,18.9876221136456,34.0447004178842,1.09486693534701
Obs017,100,10,1,2,1,33,-2.67878483810814,-2.79027291079656,-2.55736718256129,38.4453210678028,33.451011840639,43.4480254364299,1.09486693534701
Obs018,100,10,1,2,1,46,-2.74214559977392,-2.86446766080659,-2.59956845359355,41.2383735320884,35.1344993828176,47.0069167618319,1.09486693534701
Obs001,100,20,1,2,1,48,-2.18496245055724,-2.57125608811339,-1.9575230366796,20.8622876515543,15.0020511075402,33.9989883512627,1.09486693534701
Obs002,100,20,1,2,1,30,-2.34865352748837,-2.45998337818406,-2.1955733293285,25.9111601915788,21.1677079696695,29.7732684725899,1.09486693534701
Obs003,100,20,1,2,1,50,-2.1081048037533,-2.19788304106677,-2.00787897672337,18.7372818389193,16.189841358878,21.2345826496044,1.09486693534701
Obs004,100,20,1,2,1,30,-2.18997792366517,-2.31101443942816,-2.04966243029509,21.006282724547,17.2217395814394,24.6852751666343,1.09486693534701
Obs005,100,20,1,2,1,44,-2.61628426996496,-2.76844194438145,-2.49770064359982,35.8166353944143,31.1638534162773,42.4361775083721,1.09486693534701
Obs006,100,20,1,2,1,50,-2.5458671889617,-2.67998770101905,-2.34890446572889,33.0017695621073,25.9194663920513,38.4971339852276,1.09486693534701
Obs007,100,20,1,2,1,43,-1.69562090584521,-1.80445464791533,-1.58085230306231,9.7502619393542,7.90139702389325,11.7508128462601,1.09486693534701
Obs008,100,20,1,2,1,50,-1.65646428733911,-1.79337148745922,-1.41643464223019,9.09025836533783,5.68354908924537,11.5356156552588,1.09486693534701
Obs009,100,20,1,2,1,51,-2.09995845736294,-2.26215213162205,-1.8752137777824,18.5209008035682,13.1881036392526,23.1523681902249,1.09486693534701
Obs011,100,20,1,2,1,50,-2.39004725444107,-2.48663926925927,-2.29247541740804,27.3054575645781,24.0959502433932,30.7516454640866,1.09486693534701
Obs012,100,20,1,2,1,51,-1.94714950980019,-2.05921834825594,-1.82482979441314,14.7648110857134,12.1533802213145,17.4637374467043,1.09486693534701
Obs013,100,20,1,2,1,33,-2.23911760212456,-2.36343370818392,-2.00854837157123,22.4522933458806,16.2060390629264,26.4034253189589,1.09486693534701
Obs014,100,20,1,2,1,36,-2.28327502565097,-2.42237460827499,-2.12205228767319,23.8070001591668,19.1116524027717,28.4284978370494,1.09486693534701
